one,two,three,four,key
0.510,0.366,0.274,0.947,R
0.900,0.829,0.084,0.752,S
0.444,0.573,0.608,0.837,T
0.081,0.962,0.511,0.568,U
0.256,0.042,0.039,0.009,V
0.257,0.185,0.040,0.240,W
0.387,0.809,0.448,0.427,X
0.932,0.447,0.853,0.162,Y
0.174,0.657,0.927,0.171,Z
0.680,0.969,0.545,0.851,A
0.869,0.959,0.616,0.479,B
0.847,0.311,0.489,0.287,C
0.865,0.541,0.950,0.467,D
0.630,0.120,0.374,0.865,E
0.597,0.941,0.514,0.209,F
0.340,0.057,0.845,0.948,G
0.641,0.902,0.372,0.582,H
0.554,0.251,0.199,0.198,I
0.492,0.389,0.325,0.940,J
0.918,0.623,0.109,0.988,K
0.610,0.145,0.968,0.016,L
0.642,0.126,0.645,0.704,M
0.475,0.134,0.900,0.654,N
0.007,0.383,0.045,0.578,O
0.781,0.939,0.065,0.491,P
0.456,0.563,0.335,0.564,Q
0.073,0.484,0.330,0.399,R
0.961,0.815,0.897,0.812,S
0.587,0.925,0.424,0.969,T
0.989,0.713,0.630,0.041,U
0.196,0.392,0.568,0.497,V
0.672,0.891,0.502,0.597,W
0.062,0.430,0.501,0.206,X
0.542,0.734,0.076,0.763,Y
0.397,0.891,0.135,0.975,Z
0.299,0.975,0.066,0.842,A
0.378,0.985,0.447,0.897,B
0.228,0.219,0.071,0.344,C
0.920,0.360,0.986,0.785,D
0.186,0.324,0.561,0.506,E
0.938,0.131,0.870,0.680,F
0.636,0.138,0.028,0.449,G
0.814,0.744,0.645,0.472,H
0.522,0.892,0.382,0.099,I
0.458,0.497,0.875,0.720,J
0.216,0.587,0.058,0.942,K
0.662,0.420,0.889,0.954,L
0.015,0.949,0.474,0.460,M
0.484,0.061,0.944,0.274,N
0.183,0.809,0.184,0.847,O
0.929,0.663,0.798,0.121,P
0.914,0.107,0.308,0.602,Q
0.552,0.910,0.519,0.603,R
0.662,0.209,0.135,0.145,S
0.490,0.498,0.957,0.645,T
0.215,0.860,0.193,0.777,U
0.737,0.540,0.069,0.740,V
0.708,0.607,0.346,0.855,W
0.883,0.756,0.060,0.769,X
0.611,0.248,0.102,0.214,Y
0.267,0.407,0.650,0.999,Z
0.246,0.795,0.334,0.897,A
0.891,0.660,0.973,0.207,B
0.376,0.484,0.429,0.629,C
0.169,0.970,0.335,0.841,D
0.152,0.738,0.218,0.339,E
0.658,0.973,0.577,0.307,F
0.926,0.776,0.322,0.551,G
0.693,0.617,0.284,0.606,H
0.057,0.919,0.155,0.804,I
0.559,0.850,0.413,0.451,J
0.554,0.011,0.083,0.612,K
0.375,0.276,0.540,0.291,L
0.654,0.887,0.939,0.296,M
0.631,0.519,0.292,0.816,N
0.502,0.873,0.714,0.526,O
0.261,0.449,0.521,0.405,P
0.330,0.742,0.691,0.337,Q
0.478,0.774,0.643,0.712,R
0.523,0.066,0.640,0.646,S
0.183,0.713,0.659,0.286,T
0.504,0.044,0.421,0.488,U
0.578,0.746,0.410,0.776,V
0.878,0.503,0.711,0.205,W
0.996,0.639,0.709,0.575,X
0.268,0.090,0.645,0.588,Y
0.990,0.521,0.116,0.799,Z
0.239,0.212,0.869,0.621,A
0.814,0.927,0.902,0.744,B
0.087,0.184,0.753,0.545,C
0.421,0.924,0.061,0.565,D
0.251,0.420,0.763,0.149,E
0.506,0.471,0.524,0.387,F
0.738,0.953,0.913,0.995,G
0.813,0.754,0.784,0.960,H
0.691,0.435,0.071,0.949,I
0.529,0.832,0.024,0.387,J
0.194,0.332,0.051,0.476,K
0.301,0.990,0.668,0.059,L
0.815,0.127,0.210,0.734,M
0.977,0.277,0.774,0.464,N
0.420,0.312,0.589,0.538,O
0.849,0.830,0.860,0.476,P
0.796,0.644,0.685,0.679,Q
0.854,0.176,0.747,0.668,R
0.189,0.485,0.887,0.708,S
0.212,0.674,0.558,0.926,T
0.774,0.982,0.209,0.496,U
0.117,0.966,0.320,0.736,V
0.023,0.363,0.640,0.671,W
0.867,0.829,0.879,0.937,X
0.972,0.911,0.369,0.505,Y
0.582,0.529,0.535,0.946,Z
0.214,0.555,0.421,0.120,A
0.639,0.603,0.287,0.429,B
0.592,0.211,0.098,0.848,C
0.967,0.814,0.295,0.422,D
0.635,0.880,0.655,0.529,E
0.221,0.418,0.350,0.786,F
0.417,0.888,0.601,0.002,G
0.078,0.032,0.672,0.481,H
0.131,0.449,0.343,0.796,I
0.162,0.042,0.951,0.597,J
0.110,0.519,0.871,0.020,K
0.596,0.190,0.752,0.480,L
0.495,0.140,0.536,0.613,M
0.111,0.071,0.830,0.137,N
0.454,0.462,0.060,0.700,O
0.673,0.387,0.357,0.601,P
0.490,0.963,0.951,0.624,Q
0.224,0.221,0.973,0.694,R
0.924,0.456,0.463,0.688,S
0.337,0.302,0.279,0.248,T
0.479,0.283,0.680,0.971,U
0.230,0.775,0.473,0.374,V
0.921,0.711,0.918,0.884,W
0.028,0.787,0.184,0.196,X
0.474,0.861,0.084,0.654,Y
0.150,0.165,0.762,0.462,Z
0.425,0.252,0.795,0.765,A
0.392,0.391,0.856,0.152,B
0.657,0.133,0.917,0.505,C
0.607,0.458,0.419,0.999,D
0.380,0.505,0.886,0.237,E
0.207,0.987,0.945,0.898,F
0.244,0.103,0.671,0.454,G
0.456,0.376,0.156,0.529,H
0.224,0.578,0.229,0.110,I
0.692,0.965,0.527,0.189,J
0.399,0.908,0.007,0.981,K
0.199,0.565,0.147,0.791,L
0.311,0.429,0.546,0.518,M
0.769,0.439,0.345,0.352,N
0.059,0.777,0.638,0.532,O
0.688,0.487,0.496,0.387,P
0.978,0.599,0.107,0.410,Q
0.022,0.837,0.510,0.587,R
0.274,0.850,0.278,0.209,S
0.159,0.359,0.412,0.495,T
0.875,0.066,0.498,0.050,U
0.035,0.647,0.975,0.337,V
0.477,0.443,0.463,0.761,W
0.534,0.227,0.597,0.134,X
0.909,0.616,0.914,0.699,Y
0.147,0.120,0.014,0.919,Z
0.722,0.660,0.884,0.266,A
0.922,0.708,0.063,0.696,B
0.960,0.866,0.240,0.345,C
0.071,0.866,0.473,0.727,D
0.324,0.182,0.805,0.657,E
0.588,0.676,0.357,0.603,F
0.285,0.017,0.133,0.661,G
0.137,0.263,0.868,0.926,H
0.292,0.498,0.209,0.431,I
0.938,0.256,0.820,0.480,J
0.003,0.168,0.734,0.503,K
0.859,0.189,0.815,0.247,L
0.089,0.361,0.612,0.011,M
0.429,0.990,0.675,0.219,N
0.727,0.396,0.753,0.673,O
0.311,0.926,0.742,0.056,P
0.163,0.868,0.121,0.932,Q
0.096,0.067,0.910,0.546,R
0.954,0.582,0.902,0.875,S
0.769,0.920,0.723,0.151,T
0.519,0.803,0.735,0.245,U
0.071,0.716,0.898,0.088,V
0.363,0.610,0.595,0.220,W
0.316,0.021,0.201,0.114,X
0.845,0.114,0.807,0.806,Y
0.215,0.402,0.131,0.475,Z
0.266,0.233,0.144,0.487,A
0.152,0.824,0.163,0.790,B
0.901,0.670,0.980,0.303,C
0.612,0.079,0.885,0.451,D
0.204,0.638,0.297,1.000,E
0.167,0.989,0.707,0.842,F
0.989,0.381,0.752,0.899,G
0.866,0.708,0.234,0.537,H
0.869,0.269,0.691,0.848,I
0.619,0.768,0.826,0.791,J
0.897,0.666,0.053,0.442,K
0.692,0.710,0.204,0.819,L
0.840,0.200,0.755,0.284,M
0.533,0.991,0.819,0.901,N
0.291,0.209,0.994,0.992,O
0.698,0.452,0.356,0.542,P
0.497,0.437,0.284,0.830,Q
0.601,0.783,0.017,0.445,R
0.049,0.011,0.234,0.841,S
0.935,0.757,0.837,0.192,T
0.569,0.496,0.219,0.014,U
0.474,0.332,0.013,0.176,V
0.687,0.221,0.893,0.545,W
0.627,0.231,0.801,0.681,X
0.234,0.314,0.607,0.463,Y
0.583,0.700,0.837,0.735,Z
0.881,0.447,0.350,0.679,A
0.444,0.816,0.056,0.784,B
0.619,0.229,0.412,0.666,C
0.707,0.188,0.479,0.147,D
0.665,0.554,0.602,0.536,E
0.586,0.624,0.781,0.169,F
0.372,0.516,0.631,0.380,G
0.291,0.296,0.597,0.112,H
0.908,0.714,0.923,0.815,I
0.007,0.189,0.572,0.228,J
0.798,0.100,0.990,0.954,K
0.909,0.963,0.508,0.193,L
